SegmentID,M,Yr,D,WktGeom,street,Vol,fromSt,toSt
133440,11,2023,15,POINT (1050796.0649834706 182183.91991279385),BELT PARKWAY EXIT 21 WESTBOUND,4512,Belt Parkway,North Conduit Avenue
65788,5,2022,6,POINT (1060083.0573033746 191020.48249317423),LINDEN BOULEVARD,13230,Cross Island Parkway,Dead end
147692,3,2022,11,POINT (1055642.3214792507 205325.99368021605),BRADDOCK AVENUE,11870,Hillside Avenue,221 Street
9000515,1,2024,22,POINT (1041074.973834683 193690.47360957888),160 STREET,5585,Dead End,Dead end
65967,6,2022,20,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,842,Dead End,Dutch Kills Shoreline
75814,6,2024,5,POINT (1012773.574505262 214116.50164328783),NORTHERN BOULEVARD,22840,69 Street,70 Street
136612,11,2023,19,POINT (1049634.4174811568 182344.0829986251),BELT PARKWAY SB ENTRANCE 181 ST,7734,181 Street,Belt Parkway
62497,6,2022,17,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,72988,Hook Creek Shoreline,Dead end
59520,1,2023,31,POINT (1047210.7050830991 187542.95138537127),171 STREET,1345,120 Avenue,Baisley Boulevard
189271,6,2022,18,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,11268,Borden Avenue,Dead end
98532,3,2023,2,POINT (1049945.3061012689 216034.33471385224),46 AVENUE,3155,218 Street,Springfield Boulevard
57162,1,2024,30,POINT (1038800.1226020441 190235.14743930462),109 AVENUE,3600,143 Street,Pinegrove Street
62497,6,2023,29,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,73287,Hook Creek Shoreline,Dead end
138766,4,2023,25,POINT (1035854.6105769284 200112.1762885384),GRAND CENTRAL PARKWAY,85558,Dead End,Dead end
115413,5,2023,17,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
177615,5,2022,19,POINT (1028931.8143046284 215115.26618027306),ROOSEVELT AVENUE BRIDGE,17592,Flushing Line,Flushing Line
135025,4,2023,19,POINT (1033996.7401884315 156266.3636655733),CROSS BAY BOULEVARD,10888,Dead End,Broad Channel Island Shoreline
66424,5,2022,5,POINT (1005691.9480838224 200324.61319259694),GRAND STREET BRIDGE,1491,Dead End,Grand Avenue
77104,5,2022,20,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,4829,Rikers Is Bridge,Dead end
65967,6,2022,13,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,1016,Dead End,Dutch Kills Shoreline
253492,1,2024,13,POINT (1018213.9448553473 207844.39374417067),BROADWAY,5740,Queens Boulevard,Queens Boulevard Line
174904,4,2023,5,POINT (1015366.8530253103 204474.92114100757),LONG ISLAND EXPWY ET 19 WB,15503,74 Street,Dead End
136612,11,2023,14,POINT (1049634.4174811568 182344.0829986251),BELT PARKWAY SB ENTRANCE 181 ST,8179,181 Street,Belt Parkway
59520,2,2023,5,POINT (1047210.7050830991 187542.95138537127),171 STREET,957,120 Avenue,Baisley Boulevard
9000515,1,2024,21,POINT (1041074.973834683 193690.47360957888),160 STREET,3570,Dead End,Dead end
102994,6,2022,29,POINT (1067176.7350721152 208645.26446477076),HILLSIDE AVENUE,11677,268 Street,Langdale Street
62497,6,2022,15,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,76765,Hook Creek Shoreline,Dead end
253492,1,2024,12,POINT (1018184.6338783544 207781.08927497457),BROADWAY,6821,Queens Boulevard Line,Queens Boulevard
139069,4,2023,25,POINT (1035852.0563073272 200167.76815625254),GRAND CENTRAL PARKWAY,77020,Dead End,Dead end
66424,5,2022,3,POINT (1005691.9480838224 200324.61319259694),GRAND STREET BRIDGE,8035,Dead End,Grand Avenue
74363,1,2024,11,POINT (1014378.8719643257 204625.60090671887),GRAND AVENUE,5424,72 Street,Mazeau Street
113038,9,2023,21,POINT (1009106.1610914068 213482.47529988937),WOODSIDE AVENUE,4163,Dead End,37 Avenue
9000874,9,2023,24,POINT (1009202.7227579828 213713.08725019929),51 STREET,4680,Dead End,Northern Boulevard
143961,3,2023,30,POINT (1015409.0884345148 204350.1023160981),LONG ISLAND EXPRESSWAY,97564,Dead End,74 Street
9000874,9,2023,21,POINT (1009202.7227579828 213713.08725019929),51 STREET,5996,Dead End,Northern Boulevard
141368,4,2023,5,POINT (1013863.022665683 189322.08862438225),JACKIE ROBINSON PARKWAY,36376,Dead End,Mt Judah Cemetery Boundary
77104,7,2023,7,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,6041,Rikers Is Bridge,Dead end
62497,6,2022,28,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,50862,Hook Creek Shoreline,Dead end
62497,6,2023,23,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,72013,Hook Creek Shoreline,Dead end
77104,5,2022,16,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,4375,Rikers Is Bridge,Dead end
53435,3,2022,15,POINT (1029932.6631676898 199586.14595438848),AUSTIN STREET,3522,77 Road,77 Avenue
57162,1,2024,27,POINT (1038800.1226020441 190235.14743930462),109 AVENUE,3270,143 Street,Pinegrove Street
62497,6,2023,22,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,74803,Hook Creek Shoreline,Dead end
65967,6,2022,14,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,1061,Dead End,Dutch Kills Shoreline
